ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000058094;ENSMUST00000088512;ENSMUST00000115371	Rnps1;RNPS1	RNA/DNA-binding protein;RNA-binding protein with serine-rich domain 1	RNA/DNA-binding protein;Isoform 1 of RNA-binding protein with serine-rich domain 1;Isoform 2 of RNA-binding protein with serine-rich domain 1;similar to Rnps1 protein	365	117210.41	199197.04	14.94	15.45
ENSMUST00000024727	Cdc5l;Kiaa0432	Cell division cycle 5-related protein;Cdc5-like protein	Cell division cycle 5-related protein;similar to Cell division cycle 5-like;similar to Cell division cycle 5-like	802	117315.33	231032.81	17.47	16.98
ENSMUST00000033179;ENSMUST00000098148	1500003O22Rik	Cerebral protein 1 homolog;Putative uncharacterized protein	Ribosomal RNA-processing protein 8;Putative uncharacterized protein	457	117429.49	77114.32	25.19	24.54
ENSMUST00000087031	Xpo5;Kiaa1291;Ranbp21	Exportin-5;Ran-binding protein 21	Isoform 1 of Exportin-5	1204	117789.95	95596.06	30.89	24.23
ENSMUST00000029698	Robld3;Mapbpip	Mitogen-activated protein-binding protein-interacting protein;Late endosomal/lysosomal Mp1-interacting protein;Roadblock domain-containing protein 3;Endosomal adaptor protein p14	Mitogen-activated protein-binding protein-interacting protein	125	118206.44	102487.24	44.82	33.16
ENSMUST00000077367	Gba	Glucosylceramidase;Beta-glucocerebrosidase;Acid beta-glucosidase;D-glucosyl-N-acylsphingosine glucohydrolase	Glucosylceramidase	515	118586.55	85819.06	33.91	37.86
ENSMUST00000114976;ENSMUST00000025023;ENSMUST00000119928;ENSMUST00000081552	Luc7l	Putative RNA-binding protein Luc7-like 1;Putative uncharacterized protein;Luc7l protein	Isoform 1 of Putative RNA-binding protein Luc7-like 1;Luc7 homolog (S. cerevisiae)-like isoform 1;Luc7l protein (Fragment);Isoform 2 of Putative RNA-binding protein Luc7-like 1	371	118634.77	104082.54	7.06	4.29
ENSMUST00000054547	Ptpn11	Tyrosine-protein phosphatase non-receptor type 11;Protein-tyrosine phosphatase SYP;SH-PTP2	Isoform 1 of Tyrosine-protein phosphatase non-receptor type 11;Isoform 2 of Tyrosine-protein phosphatase non-receptor type 11	597	118705.13	47204.31	37.54	35.03
ENSMUST00000058735;ENSMUST00000076454	Ubqln1;Plic1	Ubiquilin-1;Protein linking IAP with cytoskeleton 1	Isoform 2 of Ubiquilin-1;Isoform 1 of Ubiquilin-1	554	119271.04	234090.5	44.15	46.97
ENSMUST00000041504;ENSMUST00000100052;ENSMUST00000115379	Igf2bp2;Imp2;Vickz2;RP23-50H13.1-004	Insulin-like growth factor 2 mRNA-binding protein 2;IGF-II mRNA-binding protein 2;VICKZ family member 2;Insulin-like growth factor 2 mRNA binding protein 2	Isoform 1 of Insulin-like growth factor 2 mRNA-binding protein 2;Isoform 2 of Insulin-like growth factor 2 mRNA-binding protein 2;Insulin-like growth factor 2 mRNA binding protein 2	592	119282.59	103080.97	13.37	18.34
ENSMUST00000078374;ENSMUST00000079659	Sr140	U2-associated protein SR140;140 kDa Ser/Arg-rich domain protein	Isoform 1 of U2-associated protein SR140;Isoform 2 of U2-associated protein SR140;Isoform 3 of U2-associated protein SR140	1029	119430.03	91334.12	8.17	9.81
ENSMUST00000020361;ENSMUST00000105364	Ndufs7	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH-ubiquinone oxidoreductase 20 kDa subunit;Complex I-20kD"	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"	224	119738.41	59109.28	60.19	43.68
ENSMUST00000028509;ENSMUST00000112205;ENSMUST00000112209	Gorasp2;RP23-428O15.1-003;mCG_12970;RP23-428O15.1-006	"Golgi reassembly-stacking protein 2;Golgi reassembly-stacking protein of 55 kDa;Golgi reassembly stacking protein 2;Golgi reassembly stacking protein 2, isoform CRA_c"	"Isoform 1 of Golgi reassembly-stacking protein 2;Golgi reassembly stacking protein 2, isoform CRA_d;Golgi reassembly stacking protein 2, isoform CRA_c;Golgi reassembly stacking protein 2"	451	119891.84	144009.13	43.87	44.46
ENSMUST00000020339	Tbc1d15	TBC1 domain family member 15	TBC1 domain family member 15	671	120212.23	67185.86	11.75	9.91
ENSMUST00000060188	Ppp1r2	Protein phosphatase inhibitor 2	22 kDa protein;Putative uncharacterized protein	195	120490	30573.82	6.25	5.09
ENSMUST00000044478	Hibch	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;3-hydroxyisobutyryl-coenzyme A hydrolase"	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial;35 kDa protein"	385	120762.27	92721.31	4.55	4.37
ENSMUST00000111747;ENSMUST00000069988	Xpnpep1;mCG_20868	"Putative uncharacterized protein;X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b;Xaa-Pro aminopeptidase 1;X-Pro aminopeptidase 1;X-prolyl aminopeptidase 1, soluble;Cytosolic aminopeptidase P;Soluble aminopeptidase P;Aminoacylproline aminopeptidase"	"X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b;Xaa-Pro aminopeptidase 1"	666	120909.37	165910.5	37.07	39.26
ENSMUST00000077353	Hmbs;Uros1	Putative uncharacterized protein;Porphobilinogen deaminase;Pre-uroporphyrinogen synthase;Hydroxymethylbilane synthase	hydroxymethylbilane synthase isoform 1;hydroxymethylbilane synthase isoform 2;Isoform 1 of Porphobilinogen deaminase;Isoform 2 of Porphobilinogen deaminase	361	120927.41	150937.4	10.17	10.31
ENSMUST00000057792;ENSMUST00000047700	Pon2;mCG_6171	"Serum paraoxonase/arylesterase 2;Serum aryldialkylphosphatase 2;A-esterase 2;Aromatic esterase 2;Pon2 protein;Paraoxonase 2, isoform CRA_a"	"Serum paraoxonase/arylesterase 2;Paraoxonase 2, isoform CRA_a"	354	120961.34	95764.69	21.87	18.31
ENSMUST00000031788	Hibadh	"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	335	121042.64	150269.32	13.92	9.91
ENSMUST00000103217	Pex14	Peroxisomal membrane protein PEX14;Peroxisomal membrane anchor protein PEX14;Peroxin-14;PTS1 receptor-docking protein	Peroxisomal membrane protein PEX14	376	121320.27	32411.48	14.08	12.52
ENSMUST00000021920	Sptlc1;Lcb1	Serine palmitoyltransferase 1;Serine-palmitoyl-CoA transferase 1;Long chain base biosynthesis protein 1;Putative uncharacterized protein	Serine palmitoyltransferase 1;Putative uncharacterized protein	473	121494.7	39087.42	11.57	13.39
ENSMUST00000048260;ENSMUST00000120461	Lman1;Ergic53	Protein ERGIC-53;ER-Golgi intermediate compartment 53 kDa protein;Lectin mannose-binding 1;p58	Putative uncharacterized protein	547	121518.1	160339.44	17.92	17.12
ENSMUST00000015256	Slc25a13;Aralar2	Calcium-binding mitochondrial carrier protein Aralar2;Mitochondrial aspartate glutamate carrier 2;Solute carrier family 25 member 13;Citrin	Calcium-binding mitochondrial carrier protein Aralar2	676	121626.24	113871.59	11.78	9.15
ENSMUST00000050881;ENSMUST00000115846	Nudt16l1;Sdos	Protein syndesmos;NUDT16-like protein 1	Isoform 1 of Protein syndesmos;Isoform 2 of Protein syndesmos;Isoform 3 of Protein syndesmos	211	121651.28	99816.62	13.42	14.18
ENSMUST00000004955	Prpsap2	Phosphoribosyl pyrophosphate synthetase-associated protein 2;41 kDa phosphoribosypyrophosphate synthetase-associated protein;Prpsap2 protein	Phosphoribosyl pyrophosphate synthase-associated protein 2;phosphoribosyl pyrophosphate synthetase-associated protein 2 isoform b	369	121658.23	203813.64	11.23	10.01
ENSMUST00000049166	Bet1	BET1 homolog;Golgi vesicular membrane-trafficking protein p18	BET1 homolog	118	121888.49	55369.35	5.25	6.35
ENSMUST00000030720	Yrdc;Irip	"YrdC domain-containing protein, mitochondrial;Ischemia/reperfusion-inducible protein"	"YrdC domain-containing protein, mitochondrial;28 kDa protein"	280	122044	17488.49	25.55	25.14
ENSMUST00000000365;ENSMUST00000115115	Mcts1	Malignant T cell amplified sequence 1;Multiple copies T-cell malignancies 1	Isoform 2 of Malignant T cell-amplified sequence 1;Isoform 1 of Malignant T cell-amplified sequence 1	182	122160.39	109596.24	14.52	13.02
ENSMUST00000024047	Twf2;Ptk9l	Twinfilin-2;Twinfilin-1-like protein;A6-related protein	Isoform 1 of Twinfilin-2;Isoform 2 of Twinfilin-2	349	122272.33	254836.96	9.76	13.47
ENSMUST00000006128	Rcn1;Rca1;Rcn	Reticulocalbin-1	Reticulocalbin-1	325	122396.6	478277.52	29.17	38.04
ENSMUST00000065865	Thoc7;Nif3l1bp1	THO complex subunit 7 homolog;Ngg1-interacting factor 3-like protein 1-binding protein 1	Isoform 1 of THO complex subunit 7 homolog;similar to Thoc7 protein;Isoform 2 of THO complex subunit 7 homolog	204	122416.29	52997.21	33.25	28.05
ENSMUST00000053748;ENSMUST00000061084;ENSMUST00000061367	Epb4.1l2;Epb41l2	Erythrocyte protein band 4.1-like 2;Band 4.1-like protein 2;Generally expressed protein 4.1;4.1G;Putative uncharacterized protein	erythrocyte protein band 4.1-like 2;Band 4.1-like protein 2;Protein 4.1G;Putative uncharacterized protein	988	122466.77	75662.34	18.7	22.65
ENSMUST00000077271	Gfm1;Efg;Efg1;Gfm	"Elongation factor G 1, mitochondrial"	"Elongation factor G, mitochondrial;63 kDa protein"	751	122705.36	76995.35	35.73	24.03
ENSMUST00000033450;ENSMUST00000114860	Gpc4	Glypican-4;K-glypican;Secreted glypican-4	70 kDa protein;Glypican-4	628	122721.88	219911.27	31.54	53.23
ENSMUST00000099071	Mocs3;Uba4	Adenylyltransferase and sulfurtransferase MOCS3;Molybdenum cofactor synthesis protein 3;Adenylyltransferase MOCS3;Sulfurtransferase MOCS3	Adenylyltransferase and sulfurtransferase MOCS3	460	122751.23	101537.12	2.12	2.55
ENSMUST00000036996	Ndufb7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH-ubiquinone oxidoreductase B18 subunit;Complex I-B18	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	137	122753.94	80669.81	49.94	57.24
ENSMUST00000003946	Nob1	RNA-binding protein NOB1	RNA-binding protein NOB1	403	122867.58	51559.47	34.94	34.14
ENSMUST00000057725;ENSMUST00000109550;ENSMUST00000109549;ENSMUST00000088523	Samhd1;Mg11	"SAM domain and HD domain-containing protein 1;Interferon-gamma-inducible protein Mg11;Putative uncharacterized protein;cDNA fis, clone TRACH3010757, highly similar to Interferon-gamma inducible protein MG11"	"SAM domain and HD domain-containing protein 1;SAM domain and HD domain 1;cDNA fis, clone TRACH3010757, highly similar to Interferon-gamma inducible protein MG11"	627	122924.77	143993.39	13.54	11.43
ENSMUST00000049257	Ddx52;Rok1	Putative uncharacterized protein;Probable ATP-dependent RNA helicase DDX52;DEAD box protein 52;ATP-dependent RNA helicase ROK1-like	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52;Probable ATP-dependent RNA helicase DDX52	598	122988.06	36588.73	19.02	18.58
ENSMUST00000023477;ENSMUST00000047122;ENSMUST00000115749	Dnm1l;Drp1	Dynamin-1-like protein;Dynamin-related protein 1;Dynamin family member proline-rich carboxyl-terminal domain less	Isoform 1 of Dynamin-1-like protein;Isoform 2 of Dynamin-1-like protein;dynamin 1-like isoform a;Isoform 3 of Dynamin-1-like protein;Isoform 4 of Dynamin-1-like protein	742	123025.62	178238.47	18.1	15.85
ENSMUST00000032461		"MMP37-like protein, mitochondrial"	"Isoform 1 of MMP37-like protein, mitochondrial"	337	123060.57	56555.2	14.45	10.46
ENSMUST00000025668	Atl3	Atlastin-3	Isoform 1 of Atlastin-3;atlastin GTPase 3 isoform 1	541	123672.99	146945.07	10.51	11.43
ENSMUST00000067567;ENSMUST00000105852	Lypla2	Acyl-protein thioesterase 2;Lysophospholipase II;Lysophospholipase 2	Acyl-protein thioesterase 2	231	123701.39	97040.64	19.69	18.45
ENSMUST00000015011	Surf4;Surf-4	Surfeit locus protein 4	Surfeit locus protein 4	269	124074.34	604840.56	78.71	93.11
ENSMUST00000028553	Nop10;Nola3	H/ACA ribonucleoprotein complex subunit 3;snoRNP protein NOP10;Nucleolar protein 10;Nucleolar protein family A member 3	H/ACA ribonucleoprotein complex subunit 3	64	124180.13	301527.64	55.21	43.55
ENSMUST00000023361;ENSMUST00000115804	Pdxdc1	Pyridoxal-dependent decarboxylase domain-containing protein 1	Isoform 4 of Pyridoxal-dependent decarboxylase domain-containing protein 1;Isoform 2 of Pyridoxal-dependent decarboxylase domain-containing protein 1;Isoform 1 of Pyridoxal-dependent decarboxylase domain-containing protein 1;Isoform 3 of Pyridoxal-dependen	793	124242.62	126279.11	20.34	22.2
ENSMUST00000058407	Uqcr10	Cytochrome b-c1 complex subunit 9;Ubiquinol-cytochrome c reductase complex 7.2 kDa protein;Cytochrome c1 non-heme 7 kDa protein;Complex III subunit X;Complex III subunit 9	Cytochrome b-c1 complex subunit 9;7 kDa protein	64	124359.99	717889.58	165.65	137.33
ENSMUST00000079213	Prpf38a	Pre-mRNA-splicing factor 38A	Isoform 1 of Pre-mRNA-splicing factor 38A	312	124421.19	115209.39	14.89	18.56
ENSMUST00000015501;ENSMUST00000113824	Clpx	Caseinolytic peptidase X (E.coli)	caseinolytic protease X isoform 2	620	124666.26	36672.36	10.12	9.78
ENSMUST00000032841	Mrpl46	"39S ribosomal protein L46, mitochondrial"	"39S ribosomal protein L46, mitochondrial"	283	124819.64	65384.98	15.58	18.09
ENSMUST00000023453	Sdf2l1	Stromal cell-derived factor 2-like protein 1	Stromal cell-derived factor 2-like protein 1	221	124927.94	107564.54	19.22	26.84
ENSMUST00000021048	Ftsj3	Putative rRNA methyltransferase 3;rRNA (uridine-2'-O-)-methyltransferase 3	Putative rRNA methyltransferase 3	838	125100.84	135310.62	75.79	69.76
ENSMUST00000051186	Prkaa1	5'-AMP-activated protein kinase catalytic subunit alpha-1	5'-AMP-activated protein kinase catalytic subunit alpha-1	559	125107.75	84721.92	17.73	21.41
ENSMUST00000087324	Pgm2	Phosphoglucomutase-2;Glucose phosphomutase 2	Phosphoglucomutase-2	620	125288.36	93565.01	14.18	11.36
ENSMUST00000036437;ENSMUST00000117766;ENSMUST00000121477	Mrpl1	"39S ribosomal protein L1, mitochondrial;Putative uncharacterized protein"	"39S ribosomal protein L1, mitochondrial;mitochondrial ribosomal protein L1 isoform 2"	336	125363.99	81896.03	4	3.38
ENSMUST00000005431	Letm1	"LETM1 and EF-hand domain-containing protein 1, mitochondrial;Leucine zipper-EF-hand-containing transmembrane protein 1"	"LETM1 and EF-hand domain-containing protein 1, mitochondrial"	738	125650.36	73459.9	19.51	19.5
ENSMUST00000046463	Gtpbp1;Gtpbp	GTP-binding protein 1	GTP-binding protein 1	668	125668.39	113495.8	33.14	33.97
ENSMUST00000035033	Copb2	Coatomer subunit beta';Beta'-coat protein;p102	Coatomer subunit beta'	905	125791.79	245314.65	53.73	52.93
ENSMUST00000034499	Dcun1d5	DCN1-like protein 5;Defective in cullin neddylation protein 1-like protein 5;DCUN1 domain-containing protein 5	DCN1-like protein 5	237	125845.38	64212.31	45.68	40.03
ENSMUST00000043757	Abcf1	"ATP-binding cassette sub-family F member 1;ATP-binding cassette, sub-family F (GCN20), member 1"	"ATP-binding cassette sub-family F member 1;ATP-binding cassette, sub-family F (GCN20), member 1"	837	125975.1	149866.33	56.37	60.35
ENSMUST00000025106	Polr2d	DNA-directed RNA polymerase II subunit RPB4;DNA-directed RNA polymerase II subunit D	DNA-directed RNA polymerase II subunit RPB4;polymerase (RNA) II (DNA directed) polypeptide D isoform 2	142	125975.67	69690.48	15.84	17.45
ENSMUST00000042296;ENSMUST00000042434;ENSMUST00000097414;ENSMUST00000115697	Qki;Qk;Qk1;Qka1	Protein quaking	Isoform 7 of Protein quaking;Isoform 1 of Protein quaking;Isoform 2 of Protein quaking;Isoform 6 of Protein quaking;Isoform 3 of Protein quaking;Isoform 8 of Protein quaking;Isoform 4 of Protein quaking;similar to Quaking protein;Isoform 5 of Protein quaki	344	126001.33	75987.14	15.55	17.36
ENSMUST00000041921;ENSMUST00000117268	Otud6b	OTU domain-containing protein 6B	OTU domain containing 6B	325	126543.64	48030.54	16.23	13.32
ENSMUST00000000642	Hk2	Hexokinase-2;Hexokinase type II	Hexokinase-2	917	127002.36	149783.24	12.65	20.01
ENSMUST00000059599	Utp23	rRNA-processing protein UTP23 homolog	rRNA-processing protein UTP23 homolog	249	127163.23	19805.67	6.24	7.24
ENSMUST00000095063;ENSMUST00000116331		Uncharacterized protein C9orf80 homolog	Isoform 1 of SOSS complex subunit C	104	127164.96	5927.11	5.42	3.53
ENSMUST00000030986	Lrpap1	Alpha-2-macroglobulin receptor-associated protein;Low density lipoprotein receptor-related protein-associated protein 1;Heparin-binding protein 44	Alpha-2-macroglobulin receptor-associated protein	360	127220.95	141454.71	11.89	11.39
ENSMUST00000022980	Ndufb9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9;NADH-ubiquinone oxidoreductase B22 subunit;Complex I-B22	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	179	127299.99	75458.29	157.91	150.69
ENSMUST00000043881;ENSMUST00000100045;ENSMUST00000092678	Bclaf1;Btf;Kiaa0164	Bcl-2-associated transcription factor 1;Bclaf1 protein	Isoform 1 of Bcl-2-associated transcription factor 1;Isoform 2 of Bcl-2-associated transcription factor 1;BCL2-associated transcription factor 1 isoform 3;Isoform 3 of Bcl-2-associated transcription factor 1	919	127306.61	55711.32	15.17	15.59
	Znhit2;ORF6	Zinc finger HIT domain-containing protein 2	Zinc finger HIT domain-containing protein 2	399	127333.18	20369.12	16.2	19.82
ENSMUST00000017430;ENSMUST00000021205	Glod4	Glyoxalase domain-containing protein 4	Isoform 1 of Glyoxalase domain-containing protein 4;Isoform 2 of Glyoxalase domain-containing protein 4;Isoform 3 of Glyoxalase domain-containing protein 4	298	127512.38	203931.89	5.35	4.16
ENSMUST00000112390;ENSMUST00000056889;ENSMUST00000112392	Chd4;mKIAA4075	MKIAA4075 protein;Chromodomain-helicase-DNA-binding protein 4;Putative uncharacterized protein	MKIAA4075 protein;Chromodomain-helicase-DNA-binding protein 4;Putative uncharacterized protein	1922	127556.39	148217.88	44.73	46.41
ENSMUST00000091299	Cdk7;Cdkn7;Crk4;Mo15;Mpk-7	Cell division protein kinase 7;CDK-activating kinase;TFIIH basal transcription factor complex kinase subunit;39 kDa protein kinase;P39 Mo15;Protein-tyrosine kinase MPK-7;CR4 protein kinase;CRK4	Cell division protein kinase 7	346	127657.57	95560.42	3.42	3.14
ENSMUST00000092143	Msrb3	"Methionine-R-sulfoxide reductase B3, mitochondrial"	"Methionine-R-sulfoxide reductase B3, mitochondrial"	186	127961.31	62147.95	19.88	17.61
ENSMUST00000061875	Znf622;D15Ertd806e;Zfp622	Zinc finger protein 622	Zinc finger protein 622	476	127970.62	106354.15	17.35	21.93
ENSMUST00000002805;ENSMUST00000110000	Nat5;RP23-125A1.5-002;mCG_10160	"N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae);Putative uncharacterized protein;N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae), isoform CRA_a;N-acetyltransferase 5"	N-acetyltransferase 5 isoform 2;N-terminal acetyltransferase B complex catalytic subunit NAT5	188	127976.43	131263.86	20.58	19.84
ENSMUST00000033999	Frg1	Protein FRG1;FSHD region gene 1 protein	Protein FRG1	258	128027.67	100054	12.63	15.25
ENSMUST00000033133	Rgs10	Regulator of G-protein signaling 10	Regulator of G-protein signaling 10	181	128051.31	47656.11	15.35	13.37
ENSMUST00000045376	Adk	Adenosine kinase;Adenosine 5'-phosphotransferase	Isoform Long of Adenosine kinase	361	128071.1	57047.72	12.3	9.71
ENSMUST00000018737;ENSMUST00000108858	Sparc;RP23-465I4.1-002	SPARC;Secreted protein acidic and rich in cysteine;Osteonectin;Basement-membrane protein 40;Secreted acidic cysteine rich glycoprotein	SPARC;Secreted acidic cysteine rich glycoprotein	302	128303.19	232651.46	294.38	518.75
ENSMUST00000081104	Timm17a;Tim17a	Mitochondrial import inner membrane translocase subunit Tim17-A;Inner membrane preprotein translocase Tim17a	Mitochondrial import inner membrane translocase subunit Tim17-A;similar to mitochondrial inner membrane translocase component Tim17a;10 kDa protein	171	128458.5	150399.91	47.72	45.93
ENSMUST00000088552	Myl9;Myrl2	"Myosin regulatory light polypeptide 9;Myosin regulatory light chain 9;Myosin regulatory light chain 2, smooth muscle isoform"	Myosin regulatory light polypeptide 9	172	128545.41	409116.84	39.91	35.55
